,x,y
5551,7338.08355402335,649.4324948851207
5041,5853.508247615499,1838.9372957499618
5554,7535.433185616641,742.7636940235444
5044,5301.401083763662,341.73699468250004
5047,5371.029395742408,447.9793583757778
5560,4558.716235588807,788.4564021257735
5563,8257.49073346908,553.1123571433915
5053,6306.746697280327,669.292203562964
5566,8436.900117373363,516.436620004381
5056,6272.275926082349,801.6913938784252
5569,6724.940483826223,2490.6003611501765
5059,6135.92552267993,666.3489461482325
5572,6496.688113026461,2502.170207227061
5062,6488.218803773041,1553.7755923553768
5575,6336.623641102733,2390.10462171071
5065,6438.772811272879,1453.4836720927826
5578,6379.1231777403145,2289.353877161366
5068,6321.643515953807,1394.4843156825868
5581,8585.087622313975,322.7720180514882
5071,8712.740389484185,681.5334320310205
5074,8636.323669217749,582.4466686951713
5077,8478.566995979434,619.0791585921698
5590,5144.606569177337,494.6701098567026
5080,8181.7190191183445,462.3501759321671
5593,5123.241608397744,396.0469531822199
5083,7951.958805940518,416.49510403614505
5596,7497.060336995237,1730.6898222986497
5086,7761.211026462029,477.8749818869924
5599,7711.093316879961,425.77673606877465
5089,7507.041120706184,504.32420272184703
5602,7243.731736942277,1746.6490774974466
5605,7250.625774457032,1678.9707356397844
5095,7321.773255618846,533.897628756619
5608,7042.854963210712,1655.2014214357482
5098,4906.296725572924,613.5629356365814
5611,5918.298840336413,1137.802441520685
5101,4939.836032455402,697.3704785353898
5614,6100.883190628507,1413.2342328168252
5104,5278.0723536183705,1102.7955343088784
5617,8438.360277120655,268.7103555315682
5107,5422.543179408869,1160.820157527405
5620,7431.231837212961,1050.565283443626
5110,5574.082668725105,1209.5812125971831
5623,5914.93180194838,668.33947494922
5113,5179.211554094059,598.2819422802539
5626,8038.794631354479,270.86540339968997
5116,5222.1770544707,690.6967203192697
5629,7901.226490983397,315.26698242652515
5119,5266.544134559702,770.7743254878993
